GENE	OCCURRENCE	SOURCE
RAC2	3	ONCOKB
RASA1	3	ONCOKB
RBM15	3	ONCOKB
RECQL	3	ONCOKB
RHEB	3	ONCOKB
RIT1	3	ONCOKB
RPS6KA4	3	ONCOKB
RPS6KB2	3	ONCOKB
RRAGC	3	ONCOKB
RRAS	3	ONCOKB
RSPO2	3	ONCOKB
RTEL1	3	ONCOKB
RXRA	3	ONCOKB
RYBP	3	ONCOKB
SESN1	3	ONCOKB
SESN2	3	ONCOKB
SESN3	3	ONCOKB
SET	3	ONCOKB
SETDB1	3	ONCOKB
SH2D1A	3	ONCOKB
SHOC2	3	ONCOKB
SHQ1	3	ONCOKB
SLX4	3	ONCOKB
SMARCD1	3	ONCOKB
SMARCE1	3	ONCOKB
SMC1A	3	ONCOKB
SMC3	3	ONCOKB
SMYD3	3	ONCOKB
SOS1	3	ONCOKB
SOX17	3	ONCOKB
SPRED1	3	ONCOKB
SS18	3	ONCOKB
SSX1	3	ONCOKB
SSX2	3	ONCOKB
STK19	3	ONCOKB
STK40	3	ONCOKB
TAL1	3	ONCOKB
TAP1	3	ONCOKB
TAP2	3	ONCOKB
TCL1A	3	ONCOKB
TFE3	3	ONCOKB
TGFBR1	3	ONCOKB
TLX1	3	ONCOKB
TLX3	3	ONCOKB
TNFRSF17	3	ONCOKB
TP53BP1	3	ONCOKB
TPM3	3	ONCOKB
TRAF3	3	ONCOKB
TRAF5	3	ONCOKB
TYK2	3	ONCOKB
U2AF2	3	ONCOKB
UBR5	3	ONCOKB
UPF1	3	ONCOKB
USP6	3	ONCOKB
USP8	3	ONCOKB
VTCN1	3	ONCOKB
XBP1	3	ONCOKB
XIAP	3	ONCOKB
YAP1	3	ONCOKB
YES1	3	ONCOKB
ZNF217	3	ONCOKB
ABI1	2	ONCOKB
ACKR3	2	ONCOKB
ACTG1	2	ONCOKB
ACVR2A	2	ONCOKB
ADGRA2	2	ONCOKB
AFF1	2	ONCOKB
AGO1	2	ONCOKB
ALB	2	ONCOKB
APLNR	2	ONCOKB
APOBEC3B	2	ONCOKB
ARFRP1	2	ONCOKB
ARHGEF28	2	ONCOKB
ARID3A	2	ONCOKB
ARID3B	2	ONCOKB
